soru,cevap,dönem
"1299 yılında Osmanlı Beyliği nerede bağımsızlığını ilan etti?","1299 yılında Osmanlı Beyliği Söğüt'te Osman Gazi tarafından bağımsızlığını ilan etti.",kuruluş
"Osman Gazi devletini ne zaman ve nerede kurdu?","1299 yılında Osmanlı Beyliği Söğüt'te Osman Gazi tarafından bağımsızlığını ilan etti.",kuruluş
"Osmanlı Devleti'nin kuruluş yılı ve yeri nedir?","1299 yılında Osmanlı Beyliği Söğüt'te Osman Gazi tarafından bağımsızlığını ilan etti.",kuruluş
"Kuruluş tarihi ve yeri hakkında bilgi verir misin?","1299 yılında Osmanlı Beyliği Söğüt'te Osman Gazi tarafından bağımsızlığını ilan etti.",kuruluş
"1300 yılında hangi kaleler fethedildi?","1300 yılında Yundhisar, Köprühisar ve Yenişehir kaleleri fethedildi.",kuruluş
"Yundhisar, Köprühisar ve Yenişehir ne zaman Osmanlı toprağı oldu?","1300 yılında Yundhisar, Köprühisar ve Yenişehir kaleleri fethedildi.",kuruluş
"1300 yılında hangi fetihler gerçekleşti?","1300 yılında Yundhisar, Köprühisar ve Yenişehir kaleleri fethedildi.",kuruluş
"1300 yılındaki fetihler hakkında bilgi verir misin?","1300 yılında Yundhisar, Köprühisar ve Yenişehir kaleleri fethedildi.",kuruluş
"Osmanlıların ilk başkenti neresi oldu ve hangi yılda?","1300 yılında Yenişehir başkent yapıldı.",kuruluş
"Yenişehir hangi tarihte başkent oldu?","1300 yılında Yenişehir başkent yapıldı.",kuruluş
"Osmanlı Devleti'nin ilk başkenti neresidir?","1300 yılında Yenişehir başkent yapıldı.",kuruluş
"Yenişehir'in başkent oluşu hakkında bilgi verir misin?","1300 yılında Yenişehir başkent yapıldı.",kuruluş
"İlk Bizans-Osmanlı savaşı hangisidir ve sonucu ne olmuştur?","1302 yılındaki Koyunhisar (Bafeus) Muharebesi'nde Osman Gazi Bizans'ı mağlup etti.",kuruluş
"Osman Gazi Bizans'a karşı ilk büyük zaferini hangi savaşta kazandı?","1302 yılındaki Koyunhisar (Bafeus) Muharebesi'nde Osman Gazi Bizans'ı mağlup etti.",kuruluş
"Koyunhisar Muharebesi ne zaman yapıldı ve kim kazandı?","1302 yılındaki Koyunhisar (Bafeus) Muharebesi'nde Osman Gazi Bizans'ı mağlup etti.",kuruluş
"Bizans-Osmanlı savaşlarının ilki hakkında bilgi verir misin?","1302 yılındaki Koyunhisar (Bafeus) Muharebesi'nde Osman Gazi Bizans'ı mağlup etti.",kuruluş
"Osmanlılar İznik'i hangi yılda kuşattı ve hangi kaleyi fethetti?","1303 yılında İznik kuşatıldı ve Marmaracık Kalesi fethedildi.",kuruluş
"1303 yılında Osmanlılar hangi iki önemli harekâtı gerçekleştirdi?","1303 yılında İznik kuşatıldı ve Marmaracık Kalesi fethedildi.",kuruluş
"İznik kuşatması ve Marmaracık fethi ne zaman oldu?","1303 yılında İznik kuşatıldı ve Marmaracık Kalesi fethedildi.",kuruluş
"1303 yılındaki askeri faaliyetler hakkında bilgi verir misin?","1303 yılında İznik kuşatıldı ve Marmaracık Kalesi fethedildi.",kuruluş
"1304 yılında hangi yerler Osmanlı topraklarına katıldı?","1304 yılında Akhisar, Mekece ve Geyve ele geçirildi.",kuruluş
"Akhisar, Mekece ve Geyve ne zaman Osmanlı egemenliğine girdi?","1304 yılında Akhisar, Mekece ve Geyve ele geçirildi.",kuruluş
"1304 yılındaki fetihler nelerdir?","1304 yılında Akhisar, Mekece ve Geyve ele geçirildi.",kuruluş
"1304 yılındaki toprak kazanımları hakkında bilgi verir misin?","1304 yılında Akhisar, Mekece ve Geyve ele geçirildi.",kuruluş
"Dimbos zaferi sonucunda hangi kaleler fethedildi?","1306 yılında Dimbos zaferi sonucunda Kestel, Kete ve Ulubad kaleleri fethedildi.",kuruluş
"Kestel, Kete ve Ulubad kaleleri hangi savaştan sonra Osmanlılara geçti?","1306 yılında Dimbos zaferi sonucunda Kestel, Kete ve Ulubad kaleleri fethedildi.",kuruluş
"Dimbos Muharebesi ne zaman kazanıldı ve sonuçları nelerdi?","1306 yılında Dimbos zaferi sonucunda Kestel, Kete ve Ulubad kaleleri fethedildi.",kuruluş
"Dimbos zaferi hakkında bilgi verir misin?","1306 yılında Dimbos zaferi sonucunda Kestel, Kete ve Ulubad kaleleri fethedildi.",kuruluş
"Osmanlıların yaptığı ilk askeri antlaşma hangi yılda yapıldı?","1306 yılında ilk askeri antlaşma yapıldı.",kuruluş
"İlk askeri antlaşma ne zaman imzalandı?","1306 yılında ilk askeri antlaşma yapıldı.",kuruluş
"Osmanlı tarihindeki ilk askeri antlaşma hakkında bilgi verir misin?","1306 yılında ilk askeri antlaşma yapıldı.",kuruluş
"Hangi yıl Osmanlılar ilk askeri antlaşmayı yaptı?","1306 yılında ilk askeri antlaşma yapıldı.",kuruluş
"1307 yılında Osmanlılar hangi iki faaliyeti gerçekleştirdi?","1307 yılında İznik sıkıştırıldı ve Yalova akını düzenlendi.",kuruluş
"İznik'in sıkıştırılması ve Yalova akını ne zaman oldu?","1307 yılında İznik sıkıştırıldı ve Yalova akını düzenlendi.",kuruluş
"1307 yılındaki askeri hareketler nelerdir?","1307 yılında İznik sıkıştırıldı ve Yalova akını düzenlendi.",kuruluş
"1307 yılında ne yapıldı?","1307 yılında İznik sıkıştırıldı ve Yalova akını düzenlendi.",kuruluş
"Ulubat gölü üzerindeki Alyos adası nasıl ve ne zaman Osmanlı toprağı oldu?","1308 yılında Ulubat gölü üzerindeki Alyos adası, Aygut Alp'in oğlu Kara Ali tarafından barış yoluyla teslim alındı.",kuruluş
"Alyos adasını kim teslim aldı ve hangi yılda?","1308 yılında Ulubat gölü üzerindeki Alyos adası, Aygut Alp'in oğlu Kara Ali tarafından barış yoluyla teslim alındı.",kuruluş
"1308 yılında hangi ada barış yoluyla alındı?","1308 yılında Ulubat gölü üzerindeki Alyos adası, Aygut Alp'in oğlu Kara Ali tarafından barış yoluyla teslim alındı.",kuruluş
"Alyos adasının fethi hakkında bilgi verir misin?","1308 yılında Ulubat gölü üzerindeki Alyos adası, Aygut Alp'in oğlu Kara Ali tarafından barış yoluyla teslim alındı.",kuruluş
"Köse Mihal kimdir ve ne yapmıştır?","1313 yılında Harmankaya Tekfuru Köse Mihal Müslüman olarak kalesi ve taraftarları ile birlikte Osmanlılara katıldı.",kuruluş
"Harmankaya Tekfuru Köse Mihal hangi yılda Müslüman oldu?","1313 yılında Harmankaya Tekfuru Köse Mihal Müslüman olarak kalesi ve taraftarları ile birlikte Osmanlılara katıldı.",kuruluş
"Köse Mihal'in Osmanlılara katılması hakkında bilgi verir misin?","1313 yılında Harmankaya Tekfuru Köse Mihal Müslüman olarak kalesi ve taraftarları ile birlikte Osmanlılara katıldı.",kuruluş
"Bir Bizans tekfurunun Osmanlı saflarına katılması olayı nedir?","1313 yılında Harmankaya Tekfuru Köse Mihal Müslüman olarak kalesi ve taraftarları ile birlikte Osmanlılara katıldı.",kuruluş
"1320 yılında Osman Gazi'nin rahatsızlığı nedeniyle yönetimi kim devraldı?","1320 yılında Osman Gazi'nin rahatsızlığı nedeniyle oğlu Orhan Bey yönetimi ele aldı.",kuruluş
"Osman Gazi hastalanınca yerine kim geçti?","1320 yılında Osman Gazi'nin rahatsızlığı nedeniyle oğlu Orhan Bey yönetimi ele aldı.",kuruluş
"1320'de Osmanlı yönetiminde ne değişti?","1320 yılında Osman Gazi'nin rahatsızlığı nedeniyle oğlu Orhan Bey yönetimi ele aldı.",kuruluş
"Orhan Bey ne zaman idareyi ele aldı?","1320 yılında Osman Gazi'nin rahatsızlığı nedeniyle oğlu Orhan Bey yönetimi ele aldı.",kuruluş
"1321 yılında hangi iki önemli liman kenti fethedildi?","1321 yılında Gemlik ve Mudanya'nın fethi gerçekleşti.",kuruluş
"Gemlik ve Mudanya ne zaman Osmanlı toprağı oldu?","1321 yılında Gemlik ve Mudanya'nın fethi gerçekleşti.",kuruluş
"1321 yılındaki fetihler nelerdir?","1321 yılında Gemlik ve Mudanya'nın fethi gerçekleşti.",kuruluş
"Gemlik ve Mudanya'nın fethi hakkında bilgi verir misin?","1321 yılında Gemlik ve Mudanya'nın fethi gerçekleşti.",kuruluş
"1324 yılında hangi bölgeler Osmanlı topraklarına katıldı?","1324 yılında Umur-Han Beyliği elindeki Akyazı ve İmralı Adası fethedildi.",kuruluş
"Akyazı ve İmralı Adası ne zaman fethedildi?","1324 yılında Umur-Han Beyliği elindeki Akyazı ve İmralı Adası fethedildi.",kuruluş
"1324 yılındaki fetihler hakkında bilgi verir misin?","1324 yılında Umur-Han Beyliği elindeki Akyazı ve İmralı Adası fethedildi.",kuruluş
"İmralı Adası'nın fethi hangi yılda oldu?","1324 yılında Umur-Han Beyliği elindeki Akyazı ve İmralı Adası fethedildi.",kuruluş
"Osman Gazi ne zaman vefat etti ve yerine kim geçti?","1326 yılında Osman Gazi vefat etti ve yerine oğlu Orhan Gazi tahta geçti.",kuruluş
"Osman Gazi'nin ölüm tarihi ve halefi kimdir?","1326 yılında Osman Gazi vefat etti ve yerine oğlu Orhan Gazi tahta geçti.",kuruluş
"1326 yılında Osmanlı tahtında ne değişti?","1326 yılında Osman Gazi vefat etti ve yerine oğlu Orhan Gazi tahta geçti.",kuruluş
"Osman Gazi'nin vefatı ve Orhan Gazi'nin tahta geçişi hakkında bilgi verir misin?","1326 yılında Osman Gazi vefat etti ve yerine oğlu Orhan Gazi tahta geçti.",kuruluş
"Bursa hangi yılda ve kim tarafından fethedildi?","1326 yılında Bursa Osmanlılar tarafından alındı.",kuruluş
"Bursa'nın fethi ne zaman gerçekleşti?","1326 yılında Bursa Osmanlılar tarafından alındı.",kuruluş
"Osmanlılar Bursa'yı kaç yılında aldı?","1326 yılında Bursa Osmanlılar tarafından alındı.",kuruluş
"Bursa'nın alınışı hakkında bilgi verir misin?","1326 yılında Bursa Osmanlılar tarafından alındı.",kuruluş
"İlk Osmanlı gümüş akçası ne zaman ve kim tarafından bastırıldı?","1327 yılında Orhan Gazi tarafından bilinen ilk gümüş akçe bastırıldı.",kuruluş
"Orhan Gazi hangi yılda akçe bastırdı?","1327 yılında Orhan Gazi tarafından bilinen ilk gümüş akçe bastırıldı.",kuruluş
"Osmanlı para sisteminin temeli ne zaman atıldı?","1327 yılında Orhan Gazi tarafından bilinen ilk gümüş akçe bastırıldı.",kuruluş
"İlk gümüş akçe hakkında bilgi verir misin?","1327 yılında Orhan Gazi tarafından bilinen ilk gümüş akçe bastırıldı.",kuruluş
"Pelekanon zaferi hangi yılda ve hangi devlete karşı kazanıldı?","1329 yılında Bizans'a karşı Pelekanon zaferi kazanıldı.",kuruluş
"Orhan Gazi Bizans'a karşı hangi savaşı kazandı?","1329 yılında Bizans'a karşı Pelekanon zaferi kazanıldı.",kuruluş
"Pelekanon Muharebesi ne zaman oldu?","1329 yılında Bizans'a karşı Pelekanon zaferi kazanıldı.",kuruluş
"Pelekanon zaferi hakkında bilgi verir misin?","1329 yılında Bizans'a karşı Pelekanon zaferi kazanıldı.",kuruluş
"1330 yılında Osmanlı hangi beyliklerle ittifak yaptı?","1330 yılında Osmanlı, Aydın ve Saruhan beylikleriyle Bizans'a karşı ittifak yaptı.",kuruluş
"Bizans'a karşı Osmanlı-Aydın-Saruhan ittifakı ne zaman kuruldu?","1330 yılında Osmanlı, Aydın ve Saruhan beylikleriyle Bizans'a karşı ittifak yaptı.",kuruluş
"1330'daki ittifak hakkında bilgi verir misin?","1330 yılında Osmanlı, Aydın ve Saruhan beylikleriyle Bizans'a karşı ittifak yaptı.",kuruluş
"Hangi beyliklerle Osmanlı Bizans'a karşı birleşti?","1330 yılında Osmanlı, Aydın ve Saruhan beylikleriyle Bizans'a karşı ittifak yaptı.",kuruluş
"1330 yılında Osmanlılar hangi bölgeleri fethederek İstanbul Boğazı'nın Anadolu yakasının kontrolünü sağladı?","1330 yılında Üsküdar'a kadar Kocaeli kıyıları ve Kandıra fethedildi.",kuruluş
"Kocaeli kıyıları ve Kandıra ne zaman fethedildi?","1330 yılında Üsküdar'a kadar Kocaeli kıyıları ve Kandıra fethedildi.",kuruluş
"1330'daki fetihler nelerdir?","1330 yılında Üsküdar'a kadar Kocaeli kıyıları ve Kandıra fethedildi.",kuruluş
"Üsküdar'a kadar uzanan fetih hakkında bilgi verir misin?","1330 yılında Üsküdar'a kadar Kocaeli kıyıları ve Kandıra fethedildi.",kuruluş
"İznik hangi yılda ve kim tarafından fethedildi?","1331 yılında İznik Osmanlılar tarafından alındı.",kuruluş
"İznik'in Osmanlılara geçiş tarihi nedir?","1331 yılında İznik Osmanlılar tarafından alındı.",kuruluş
"İznik ne zaman alındı?","1331 yılında İznik Osmanlılar tarafından alındı.",kuruluş
"İznik fethi hakkında bilgi verir misin?","1331 yılında İznik Osmanlılar tarafından alındı.",kuruluş
"İlk Osmanlı medresesi nerede ve ne zaman kuruldu?","1331 yılında ilk Osmanlı medresesi İznik'te Orhan Gazi tarafından kuruldu.",kuruluş
"Orhan Gazi medreseyi hangi yılda ve nerede açtı?","1331 yılında ilk Osmanlı medresesi İznik'te Orhan Gazi tarafından kuruldu.",kuruluş
"Osmanlı eğitim sisteminin temeli ne zaman atıldı?","1331 yılında ilk Osmanlı medresesi İznik'te Orhan Gazi tarafından kuruldu.",kuruluş
"İznik'teki ilk medrese hakkında bilgi verir misin?","1331 yılında ilk Osmanlı medresesi İznik'te Orhan Gazi tarafından kuruldu.",kuruluş
"İzmit hangi yılda kuşatıldı ve Bizans'la ne zaman anlaşma yapıldı?","1333 yılında İzmit kuşatıldı ve Bizans'la anlaşma yapıldı.",kuruluş
"1333 yılında İzmit için ne yapıldı?","1333 yılında İzmit kuşatıldı ve Bizans'la anlaşma yapıldı.",kuruluş
"İzmit'in kuşatılması ve anlaşma hakkında bilgi verir misin?","1333 yılında İzmit kuşatıldı ve Bizans'la anlaşma yapıldı.",kuruluş
"1333'te İzmit'te ne oldu?","1333 yılında İzmit kuşatıldı ve Bizans'la anlaşma yapıldı.",kuruluş
"Ulubat ve Balıkesir ne zaman Osmanlı topraklarına katıldı?","1335 yılında Bizans'tan Ulubat ve Karesi Beyliği'nden Balıkesir ele geçirildi.",kuruluş
"1335 yılında hangi iki önemli yer alındı?","1335 yılında Bizans'tan Ulubat ve Karesi Beyliği'nden Balıkesir ele geçirildi.",kuruluş
"Bizans'tan Ulubat'ın ve Karesi Beyliği'nden Balıkesir'in fethi hakkında bilgi verir misin?","1335 yılında Bizans'tan Ulubat ve Karesi Beyliği'nden Balıkesir ele geçirildi.",kuruluş
"Ulubat ve Balıkesir'in alınışı hangi yılda oldu?","1335 yılında Bizans'tan Ulubat ve Karesi Beyliği'nden Balıkesir ele geçirildi.",kuruluş
"1337 yılında Orhan Gazi ve Süleyman Gazi nereleri fethetti?","1337 yılında Orhan Gazi İzmit'i, Süleyman Gazi ise Taraklı Yenicesi, Göynük ve Mudurnu'yu fethetti.",kuruluş
"İzmit, Taraklı Yenicesi, Göynük ve Mudurnu ne zaman alındı?","1337 yılında Orhan Gazi İzmit'i, Süleyman Gazi ise Taraklı Yenicesi, Göynük ve Mudurnu'yu fethetti.",kuruluş
"1337 yılındaki fetihler nelerdir?","1337 yılında Orhan Gazi İzmit'i, Süleyman Gazi ise Taraklı Yenicesi, Göynük ve Mudurnu'yu fethetti.",kuruluş
"Orhan ve Süleyman Gazilerin 1337 fetihleri hakkında bilgi verir misin?","1337 yılında Orhan Gazi İzmit'i, Süleyman Gazi ise Taraklı Yenicesi, Göynük ve Mudurnu'yu fethetti.",kuruluş
"Karesi Beyliği hangi yılda tamamen Osmanlılara ilhak edildi?","1345 yılında Karesi Beyliği tamamen Osmanlılara ilhak edildi.",kuruluş
"Karesi Beyliği'nin ilhak tarihi nedir?","1345 yılında Karesi Beyliği tamamen Osmanlılara ilhak edildi.",kuruluş
"Balıkesir ve çevresi ne zaman kesin olarak Osmanlı toprağı oldu?","1345 yılında Karesi Beyliği tamamen Osmanlılara ilhak edildi.",kuruluş
"Karesi Beyliği'nin Osmanlı topraklarına katılması hakkında bilgi verir misin?","1345 yılında Karesi Beyliği tamamen Osmanlılara ilhak edildi.",kuruluş
"Orhan Gazi Bizans İmparatoru Kantakuzenos'un kızıyla ne zaman evlendi?","1346 yılında Orhan Gazi, Bizans İmparatoru Kantakuzenos'un kızı ile evlendi ve Bizans'la ittifak kurdu.",kuruluş
"1346'daki evlilik ittifakı hakkında bilgi verir misin?","1346 yılında Orhan Gazi, Bizans İmparatoru Kantakuzenos'un kızı ile evlendi ve Bizans'la ittifak kurdu.",kuruluş
"Orhan Gazi'nin Bizans imparatorunun kızıyla evlenmesi hangi yılda oldu?","1346 yılında Orhan Gazi, Bizans İmparatoru Kantakuzenos'un kızı ile evlendi ve Bizans'la ittifak kurdu.",kuruluş
"Osmanlı-Bizans ittifakını sağlayan evlilik ne zaman gerçekleşti?","1346 yılında Orhan Gazi, Bizans İmparatoru Kantakuzenos'un kızı ile evlendi ve Bizans'la ittifak kurdu.",kuruluş
"Osmanlılar Rumeli'ye ilk kez ne zaman ve hangi kale ile kalıcı olarak geçti?","1349-1352 yılları arasında Süleyman Paşa, Bizans'a yardım bahanesiyle Rumeli'ye geçti ve Çimpe Kalesi'ni Osmanlı üssü haline getirdi.",kuruluş
"Çimpe Kalesi ne zaman Osmanlı üssü oldu?","1349-1352 yılları arasında Süleyman Paşa, Bizans'a yardım bahanesiyle Rumeli'ye geçti ve Çimpe Kalesi'ni Osmanlı üssü haline getirdi.",kuruluş
"Süleyman Paşa'nın Rumeli'ye geçişi hakkında bilgi verir misin?","1349-1352 yılları arasında Süleyman Paşa, Bizans'a yardım bahanesiyle Rumeli'ye geçti ve Çimpe Kalesi'ni Osmanlı üssü haline getirdi.",kuruluş
"Rumeli'deki ilk kalıcı Osmanlı üssü hangisidir?","1349-1352 yılları arasında Süleyman Paşa, Bizans'a yardım bahanesiyle Rumeli'ye geçti ve Çimpe Kalesi'ni Osmanlı üssü haline getirdi.",kuruluş
"Osmanlılar Çimpe Kalesi'ne ne zaman yerleşti ve Bizans'la savaş başladı?","1352 yılında Osmanlılar Çimpe Kalesi'ne yerleşti ve Bizans'la savaş başladı.",kuruluş
"1352'de Osmanlı-Bizans savaşının başlamasına neden olan olay nedir?","1352 yılında Osmanlılar Çimpe Kalesi'ne yerleşti ve Bizans'la savaş başladı.",kuruluş
"Çimpe Kalesi'nin yerleşim yeri olması hangi yılda oldu?","1352 yılında Osmanlılar Çimpe Kalesi'ne yerleşti ve Bizans'la savaş başladı.",kuruluş
"1352 yılında Rumeli'de ne oldu?","1352 yılında Osmanlılar Çimpe Kalesi'ne yerleşti ve Bizans'la savaş başladı.",kuruluş
"Osmanlılar Cenevizlilere hangi yılda serbest ticaret imtiyazı verdi?","1352 yılında Osmanlılar Cenevizlilere kendi topraklarında serbest ticaret yapma imtiyazı verdi.",kuruluş
"İlk kapitülasyon ne zaman yapıldı?","1352 yılında Osmanlılar Cenevizlilere kendi topraklarında serbest ticaret yapma imtiyazı verdi.",kuruluş
"Cenevizlilere verilen ticaret hakkı hakkında bilgi verir misin?","1352 yılında Osmanlılar Cenevizlilere kendi topraklarında serbest ticaret yapma imtiyazı verdi.",kuruluş
"Osmanlı'daki ilk ticari ayrıcalık hangi yılda ve kime verildi?","1352 yılında Osmanlılar Cenevizlilere kendi topraklarında serbest ticaret yapma imtiyazı verdi.",kuruluş
"Gelibolu hangi yılda ve kim tarafından fethedildi?","1354 yılında Süleyman Paşa Gelibolu'yu fethetti.",kuruluş
"Süleyman Paşa Gelibolu'yu ne zaman aldı?","1354 yılında Süleyman Paşa Gelibolu'yu fethetti.",kuruluş
"Gelibolu'nun fethi hakkında bilgi verir misin?","1354 yılında Süleyman Paşa Gelibolu'yu fethetti.",kuruluş
"Gelibolu'nun Osmanlılar tarafından fethi hangi yılda oldu?","1354 yılında Süleyman Paşa Gelibolu'yu fethetti.",kuruluş
"Sivrihisar hangi yılda alındı?","1356 yılında Sivrihisar alındı.",kuruluş
"Sivrihisar'ın fethi ne zaman gerçekleşti?","1356 yılında Sivrihisar alındı.",kuruluş
"1356 yılındaki fetihlerden biri nedir?","1356 yılında Sivrihisar alındı.",kuruluş
"Sivrihisar'ın alınışı hakkında bilgi verir misin?","1356 yılında Sivrihisar alındı.",kuruluş
"Orhan Gazi'nin esir düşen oğlu Halil ne zaman kurtarıldı ve ateşkes ne zaman imzalandı?","1357 yılında Orhan Gazi'nin esir düşen oğlu Halil'in kurtarılması karşılığında Osmanlı-Bizans savaşında ateşkes imzalandı.",kuruluş
"1357 yılındaki ateşkes anlaşması hakkında bilgi verir misin?","1357 yılında Orhan Gazi'nin esir düşen oğlu Halil'in kurtarılması karşılığında Osmanlı-Bizans savaşında ateşkes imzalandı.",kuruluş
"Halil'in kurtarılması karşılığında ne oldu?","1357 yılında Orhan Gazi'nin esir düşen oğlu Halil'in kurtarılması karşılığında Osmanlı-Bizans savaşında ateşkes imzalandı.",kuruluş
"Şehzade Halil'in kurtarılması hangi yılda gerçekleşti?","1357 yılında Orhan Gazi'nin esir düşen oğlu Halil'in kurtarılması karşılığında Osmanlı-Bizans savaşında ateşkes imzalandı.",kuruluş
"Süleyman Paşa hangi yılda öldü?","1357 yılında Süleyman Paşa öldü.",kuruluş
"Süleyman Paşa'nın ölüm tarihi nedir?","1357 yılında Süleyman Paşa öldü.",kuruluş
"Rumeli'deki fetihlerin öncüsü ne zaman vefat etti?","1357 yılında Süleyman Paşa öldü.",kuruluş
"Süleyman Paşa'nın ölümü hakkında bilgi verir misin?","1357 yılında Süleyman Paşa öldü.",kuruluş
"1359 yılında Bizans'ın kışkırtmasıyla düzenlenen hangi Haçlı seferi yenilgiye uğratıldı ve Bizans'la savaş yeniden başladı?","1359 yılında Bizans'ın kışkırtmasıyla düzenlenen Lapseki Haçlı Seferi yenilgiye uğratıldı ve Bizans'la savaş yeniden başladı.",kuruluş
"Lapseki Haçlı Seferi ne zaman püskürtüldü?","1359 yılında Bizans'ın kışkırtmasıyla düzenlenen Lapseki Haçlı Seferi yenilgiye uğratıldı ve Bizans'la savaş yeniden başladı.",kuruluş
"1359'da neler oldu?","1359 yılında Bizans'ın kışkırtmasıyla düzenlenen Lapseki Haçlı Seferi yenilgiye uğratıldı ve Bizans'la savaş yeniden başladı.",kuruluş
"Lapseki Haçlı Seferi'nin sonucu nedir?","1359 yılında Bizans'ın kışkırtmasıyla düzenlenen Lapseki Haçlı Seferi yenilgiye uğratıldı ve Bizans'la savaş yeniden başladı.",kuruluş
"1360 yılında Bizans'tan hangi şehirler fethedildi?","1360 yılında Bizans'tan Panados, Çorlu, Lüleburgaz, Babaeski, Keşan ve Dimetoka fethedildi.",kuruluş
"Panados, Çorlu, Lüleburgaz, Babaeski, Keşan ve Dimetoka ne zaman alındı?","1360 yılında Bizans'tan Panados, Çorlu, Lüleburgaz, Babaeski, Keşan ve Dimetoka fethedildi.",kuruluş
"1360 yılındaki fetihler nelerdir?","1360 yılında Bizans'tan Panados, Çorlu, Lüleburgaz, Babaeski, Keşan ve Dimetoka fethedildi.",kuruluş
"1360 Trakya fetihleri hakkında bilgi verir misin?","1360 yılında Bizans'tan Panados, Çorlu, Lüleburgaz, Babaeski, Keşan ve Dimetoka fethedildi.",kuruluş
"Edirne hangi yılda fethedildi ve başkent yapıldı?","1361 yılında Sazlıdere Zaferi sonrası Edirne fethedildi ve başkent yapıldı.",kuruluş
"Edirne'nin fethi ne zaman gerçekleşti?","1361 yılında Sazlıdere Zaferi sonrası Edirne fethedildi ve başkent yapıldı.",kuruluş
"Osmanlı başkenti ne zaman Edirne'ye taşındı?","1361 yılında Sazlıdere Zaferi sonrası Edirne fethedildi ve başkent yapıldı.",kuruluş
"Sazlıdere zaferi sonrası ne oldu?","1361 yılında Sazlıdere Zaferi sonrası Edirne fethedildi ve başkent yapıldı.",kuruluş
"Yeniçeri Ocağı hangi yılda kuruldu?","1361 yılında Yeniçeri Ocağı kuruldu.",kuruluş
"Yeniçeri Ocağı'nın kuruluş tarihi nedir?","1361 yılında Yeniçeri Ocağı kuruldu.",kuruluş
"Osmanlı'nın ilk düzenli piyade sınıfı ne zaman oluşturuldu?","1361 yılında Yeniçeri Ocağı kuruldu.",kuruluş
"Yeniçeri Ocağı'nın kuruluşu hakkında bilgi verir misin?","1361 yılında Yeniçeri Ocağı kuruldu.",kuruluş
"Orhan Gazi ne zaman vefat etti ve I. Murat ne zaman tahta çıktı?","1362 yılında Orhan Gazi vefat etti ve I. Murat tahta çıktı.",kuruluş
"1362 yılında Osmanlı tahtında ne değişti?","1362 yılında Orhan Gazi vefat etti ve I. Murat tahta çıktı.",kuruluş
"I. Murat'ın tahta çıkış tarihi nedir?","1362 yılında Orhan Gazi vefat etti ve I. Murat tahta çıktı.",kuruluş
"Orhan Gazi'nin vefatı ve I. Murat'ın tahta çıkışı hakkında bilgi verir misin?","1362 yılında Orhan Gazi vefat etti ve I. Murat tahta çıktı.",kuruluş
"Kadıaskerlik makamı ne zaman teşkil edildi?","1362 yılında kadıaskerlik teşkil edildi.",kuruluş
"Osmanlı hukuk sisteminde kadıaskerlik ne zaman kuruldu?","1362 yılında kadıaskerlik teşkil edildi.",kuruluş
"Kazaskerlik makamının kuruluşu hakkında bilgi verir misin?","1362 yılında kadıaskerlik teşkil edildi.",kuruluş
"İlk kadıasker ne zaman atandı?","1362 yılında kadıaskerlik teşkil edildi.",kuruluş
"Lala Şahin Paşa, Bulgar Krallığı'ndan hangi şehirleri ne zaman fethetti?","1363 yılında Lala Şahin Paşa, Bulgar Krallığı'ndan Eski Zağra ve Filibe'yi fethetti.",kuruluş
"Eski Zağra ve Filibe ne zaman Osmanlı toprağı oldu?","1363 yılında Lala Şahin Paşa, Bulgar Krallığı'ndan Eski Zağra ve Filibe'yi fethetti.",kuruluş
"1363 yılındaki Bulgaristan fetihleri nelerdir?","1363 yılında Lala Şahin Paşa, Bulgar Krallığı'ndan Eski Zağra ve Filibe'yi fethetti.",kuruluş
"Lala Şahin Paşa'nın Bulgaristan fetihleri hakkında bilgi verir misin?","1363 yılında Lala Şahin Paşa, Bulgar Krallığı'ndan Eski Zağra ve Filibe'yi fethetti.",kuruluş
"Pençik Kanunu ne zaman çıkarıldı?","1363 yılında Pençik Kanunu çıkarıldı.",kuruluş
